as_of_year,agency_code,loan_type,property_type,loan_purpose,owner_occupancy,loan_amount_000s,preapproval,action_taken,action_taken_summary,msamd,state_code,county_code,census_tract_number,applicant_ethnicity,co_applicant_ethnicity,applicant_race_1,co_applicant_race_1,applicant_sex,co_applicant_sex,applicant_income_000s,purchaser_type,denial_reason_1,hoepa_status,lien_status,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units
7/9/05,9,1,1,1,1,424,3,1,1,40900,6,67,96.37,2,2,2,2,1,2,142,3,0,2,1,6585,70.16,75200,110.94,1352,1612
7/9/05,2,1,1,3,1,153,3,4,,18880,12,91,211.02,2,5,5,8,1,5,57,0,0,2,1,8152,22.46,67300,96.86,2404,3345
7/9/05,9,1,1,3,1,56,3,3,0,21780,18,173,305,2,2,5,5,1,2,108,0,3,2,1,7388,4.24,65500,120.1,2651,2999
7/9/05,7,1,1,3,1,207,3,1,1,31700,33,11,225,2,5,5,8,1,5,87,1,0,2,1,6993,3.15,87200,107.98,2168,2732
7/9/05,7,1,1,1,1,424,3,4,,33124,12,86,78.05,1,1,5,5,1,2,156,0,0,2,1,4775,67.64,51800,219.02,1305,1448
7/9/05,9,2,1,3,1,133,3,6,1,19740,8,1,85.37,4,4,7,7,4,4,,0,0,2,4,6420,40.06,83900,122.51,1561,1787
7/9/05,9,1,1,3,1,922,3,6,1,36084,6,13,3383.02,4,4,7,7,4,4,,0,0,2,4,6226,27.26,97400,175.62,1840,2044
7/9/05,9,1,1,1,1,811,3,6,1,47894,51,59,4819,2,5,5,8,2,5,367,0,0,2,4,5900,36.14,107600,150.19,1251,1340
7/9/05,7,1,1,1,2,230,3,6,1,25940,45,13,101,4,4,7,7,4,4,,1,0,2,4,1742,1.26,67600,162.9,852,2270
7/9/05,9,1,1,1,1,420,3,4,,28140,20,91,527,2,2,6,6,1,2,132,0,0,2,1,7548,18.36,74600,103.37,1735,2762
